text,pronunciation,description
Paraphrase,[PAR-uh-frayz],"To restate, put what someone else has expressed into different words.<br>The noun a paraphrase is a restatement of a text or passage to give the sense of the original in fuller terms. The verb to paraphrase means to restate something, giving the meaning in another form.<br>To quote and to paraphrase are sharply distinguished. To quote is to use or repeat the words of someone else, giving acknowledgment to the source. To paraphrase is to restate in different words what someone else has said or written.<br><br>To restate, put what someone else has expressed into different words."
Ostensible,[ah-STEN-si-bul],"Apparent, appearing or seeming to be true, professed or declared as true without being demonstrated or proved.<br>More difficult synonyms of ostensible include plausible (PLAW-zi-bul) and specious (SPEE-shus). Specious, however, has the negative suggestion of using deception to make something false appear true. A specious argument is one that looks good on the surface but is flawed underneath.<br>Ostensible is often used in opposition to real or actual. An ostensible motive is not necessarily a real motive; an ostensible advantage is not necessarily an actual advantage. Ostensible means apparent, stated as true but not necessarily proved.<br><br>Apparent, appearing or seeming to be true, professed or declared as true without being demonstrated or proved.<br>Synonyms: plausible, specious."
Digress,[di-GRES or dy-GRES],"To wander, stray from the point, ramble, deviate, go off in another direction.<br>Digress comes from the Latin digressus, which comes in turn from the prefix dis-, apart, and gradi, to go, walk, step. Digress means literally to go apart, walk away. From the same Latin source come ingress (IN-gres), the place you walk in, the entrance; and egress (EE-gres), the place you walk out, the exit.<br>Digress once was used of a physical wandering or turning aside, but that sense is now archaic (ahr-KAY-ik), which means old-fashioned. Today we do not say, ""She turned right and digressed down Main Street."" Instead, digress is used of speaking or writing that departs from the main point or subject at hand and wanders off in another direction: ""In a business report or an oral presentation, it's important to stick to the facts and not digress""; ""If she hadn't digressed so much, her lecture would have been more interesting.""<br>The corresponding noun is digression (di-GRESH-un or dy-GRESH-un):<br>""The old man's story was full of humorous digressions.""<br><br>To wander, stray from the point, ramble, deviate, go off in another direction.<br>Corresponding noun: digression.<br>Related words: ingress, the place you walk in, the entrance; egress, the place you walk out, the exit.<br>Additional useful word: archaic (ar-KAY-ik), old-fashioned."
Uncanny,[uhn-KAN-ee],"Eerie, strange, weird, mysterious: ""an uncanny experience.""<br>Uncanny may refer to something that is strange in an unnatural or unearthly way, something whose strangeness is unsettling or even frightening.<br>Uncanny may also be used to mean beyond what is normal or expected, strange in a remarkable or marvelous way, as ""an uncanny resemblance,"" or ""uncanny ability.""<br><br>Eerie, strange, weird, mysterious."
Candor,[KAN-dur],"Frankness, openness, sincere expression.<br>Synonyms include straightforwardness, outspokenness, forthrightness, and ingenuousness. Candor is the noun; the adjective is candid, frank, open, sincere.<br>The candid person expresses his or her thoughts frankly and openly, with no hesitation. The forthright person speaks directly to the point, plainly and sometimes bluntly, in a no-nonsense manner. The ingenuous (in-JEN-yoo-us) person speaks honestly and sincerely, with no hint of evasiveness or deception.<br><br>Frankness, openness, sincere expression.<br>Synonyms: straightforwardness, outspokenness, forthrightness, ingenuousness (in-JENyoo-us-nis).<br>Corresponding adjective: candid, frank, open, sincere. Synonyms of candid include forthright and ingenuous."
Morose,[muh-ROHS],"Gloomy, moody, glum, grumpy, ill-tempered, depressed. ""After weeks of futile job-hunting, he became morose.""<br>More difficult synonyms of morose include dolorous (DOH-luh-rus), which means mournful, full of sadness; lugubrious (luh-GOO-bree-us), which means extremely gloomy or dismal; and saturnine (SAT-ur-nyn), which means having a bitter disposition or sour outlook on life.<br>Antonyms—words opposite in meaning—include optimistic, jovial (JOH-vee-ul), and sanguine (SANG-gwin), which means having a cheerful, confident outlook on life.<br>Sullen (SUHL-in) and morose are close in meaning. When you refuse to speak or associate with people because you're in a bad mood, you are being sullen. When you are depressed and silent because you are feeling bitter or resentful, you are morose. Merriam-Webster's Collegiate Dictionary, tenth edition, says that morose suggests ""bitterness or misanthropy."" Misanthropy (mis-AN-thruh-pee) is hatred of humankind, a spiteful or pessimistic attitude about the human race. Moroseness is ill-tempered, bitter gloominess.<br><br>Gloomy, moody, glum, grumpy, ill-tempered, depressed.<br>Synonyms: sullen, dolorous, lugubrious, saturnine.<br>Antonyms: optimistic, jovial, sanguine.<br>Corresponding noun: moroseness.<br>Additional useful word: misanthropy, hatred of humankind."
Adept,[uh-DEPT],"Skilled.<br>Synonyms include handy, clever, able, deft, expert, adroit, dexterous (DEK-strus, also DEK-stur-us), and proficient (pruh-FISH-int, not proh-).<br>Adept comes from the Latin adeptus, an alchemist who has learned how to do the impossible—change base metals into gold. The noun an adept (AD-ept) means a highly skilled person, an expert. The adjective adept means skilled, dexterous, proficient: ""He was adept at managing his investments, and they always turned a handsome profit.""<br><br>Skilled, handy.<br>Synonyms: clever, able, deft, expert, dexterous, proficient, adroit (Level 3, Word 41).<br>Corresponding noun: adept (AD-ept), a highly skilled person, an expert."
Saturated,[SACH-uh-RAY-tid],"Soaked, thoroughly wet, full of moisture.<br>Synonyms include drenched, steeped, permeated (PUR-mee-AY-tid), impregnated, imbued (im-BYOOD), and sodden (SAHD-’n).<br>Sodden may mean heavy with moisture, soggy, or dull, stupefied, expressionless, as from drinking too much liquor. To saturate means to soak or wet thoroughly, either literally, as in ""My french fries are saturated with oil,"" or figuratively: ""The company saturated the media with ads for its new product."" Saturation is the corresponding noun.<br><br>Soaked, drenched, thoroughly wet, full of moisture.<br>Synonyms: steeped, permeated, impregnated, imbued, sodden.<br>Corresponding noun: saturation."
Pragmatic,[prag-MAT-ik],"Practical, having to do with actual practice, concerned with everyday affairs as opposed to theory or speculation.<br>Pragmatic comes from the Latin pragmaticus, which means skilled in business or law. The lawyer is concerned with evidence and proof; the businessperson is concerned with facts and figures. Both have little time for idle speculation or harebrained schemes. Both must be pragmatic, concerned with practical, everyday affairs.<br><br>Practical, having to do with actual practice, concerned with everyday affairs as opposed to theory or speculation."
Congenial,[kun-JEE-nee-ul],"Sympathetic, agreeable, compatible, kindred, harmonious, having the same taste, nature, or temperament.<br>Congenial persons have similar or sympathetic tastes, interests, or personalities. Congenial things agree, go well together.<br>Antonyms, or opposites, of congenial are alien, dissident (DIS-uh-dint), and incongruous (in-KAHNG-groo-us).<br>Sympathetic, agreeable, having the same taste, nature, or temperament.<br>Synonyms: compatible, kindred, harmonious.<br>Antonyms: alien, dissident, incongruous (in-KAHNG-groo-us)."
